# id, member_id, currency_id, blockchain_key, amount, fee, address, from_addresses, txid, txout, aasm_state, block_number, type, transfer_type, tid, spread, error, created_at, updated_at, completed_at
  :hash: '0x916107cf1ee553c3269e232d3d91dec3bd0ea74f14a3c71383581c532a6bafea'
, , 2024-12-25 05:50:09.121, 2024-12-25 05:52:44.158, 2024-12-25 05:51:48.094
217239, 73204947, eth, ethereum, 2.1243000000 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0x21a31ee1afc51d94c2efccaa2092ad1028285549'
, 0xd0a65ecf77f234e175bac65c5180a99cd42c308a1f122673f4c460fd008c19da, 234, collected, 21456823, Deposits::Coin, 200, TID1692B19DA2, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '2.1210199485372'
  :currency_id: eth
  :options:
    subtract_fee: true
    gas_limit: 600000
    gas_price: 5466752438
  :status: succeed
  :hash: '0x27778a36519389cbfa5947f1ba96dfb243d5eccb2ee17eb4fd57bf82ab7d48a4'
, , 2024-12-22 08:24:11.453, 2024-12-22 08:26:07.692, 2024-12-22 08:25:20.202
217237, 73204947, eth, ethereum, 2.9961286800 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0x56eddb7aa87536c09ccc2793473599fd21a8b17f'
, 0xafee500e43798b48dfbd1f9e60bbdfbbd8efc72a15dec9266b127a7544d1d98c, 154, collected, 21454420, Deposits::Coin, 200, TID9225C67366, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '2.9918096493654'
  :currency_id: eth
  :options:
    subtract_fee: true
    gas_limit: 600000
    gas_price: 7198384391
  :status: succeed
  :hash: '0xf5f75b1a256e88691606006d2d360cf063db414a188705663b4ff5d368535970'
, , 2024-12-22 00:21:18.190, 2024-12-22 00:27:31.123, 2024-12-22 00:22:36.237
217235, 73204947, eth, ethereum, 3.3090087700 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0xdfd5293d8e347dfe59e90efd55b2956a1343963d'
, 0xb83b9ff727e32783035aeaa0ea2ed73033b6ffa9fcd177e19901842bce38ba56, 103, collected, 21439038, Deposits::Coin, 200, TIDC953FC1EDF, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '3.2857569097006'
  :currency_id: eth
  :options:
    subtract_fee: true
    gas_limit: 600000
    gas_price: 38753100499
  :status: succeed
  :hash: '0x6f755ce5ac1ca16381e5ccb14b6b1e14635d07484a6f8a579c8f21a0baf9d1a1'
, , 2024-12-19 20:45:29.196, 2024-12-19 20:47:11.674, 2024-12-19 20:46:33.140
217232, 73204947, eth, ethereum, 1.9934000000 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0x56eddb7aa87536c09ccc2793473599fd21a8b17f'
, 0x06b7d0aea9350e0f329a5caaa88ed987b08aee4d5eef9539351a88cee011c7e7, 25, collected, 21426215, Deposits::Coin, 200, TID672ABEF374, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '1.9880198882108'
  :currency_id: eth
  :options:
    subtract_fee: true
    gas_limit: 600000
    gas_price: 8966852982
  :status: succeed
  :hash: '0xa939e8e19e9c54f9e852d797f47a7228029e76e1fda9d54dd52ee0ebc878e34d'
, , 2024-12-18 01:44:30.440, 2024-12-18 01:46:27.191, 2024-12-18 01:45:40.070
217231, 73204947, eth, ethereum, 2.5938792700 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0x21a31ee1afc51d94c2efccaa2092ad1028285549'
, 0xe84370c2e1d87f38d93237ef8ae013b34b539fd0a7489afa23e50de2de60a265, 37, collected, 21425024, Deposits::Coin, 200, TID25CF3F995D, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '2.584761498016'
  :currency_id: eth
  :options:
    subtract_fee: true
    gas_limit: 600000
    gas_price: 15196286640
  :status: succeed
  :hash: '0x02cc4faca7446aee660bf43276ea4d073deb6789a08fab200f8877e8fd833290'
, , 2024-12-17 21:44:53.095, 2024-12-17 21:47:11.871, 2024-12-17 21:45:54.599
217227, 73204947, usdt, ethereum, 7542.9010840000 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0xdfd5293d8e347dfe59e90efd55b2956a1343963d'
, 0x45f91256cd00da4a8f998558bdc28c192d62460ffced88a836052f148176e1a1, 202, collected, 21414189, Deposits::Coin, 200, TID803D476B9C, ---
- :to_address: '0x93D360d49ef161f3f57176c0Db54a75d14ba05d1'
  :amount: '7542.901084'
  :currency_id: usdt
  :options:
    gas_limit: 400000
    gas_price: 9485401469
    erc20_contract_address: '0xdac17f958d2ee523a2206206994597c13d831ec7'
  :status: succeed
  :hash: '0xf920fc08c55f8b7d8e967971052f43ecc6725575986db715316d01d874dcefb4'
, , 2024-12-16 09:29:44.394, 2024-12-16 09:34:20.932, 2024-12-16 09:30:52.915
217226, 73204947, eth, ethereum, 1.7545985500 0.0000000000 0x712366ef7792fc2547d61065fd2ca757c99e5d73, ---
- '0xdfd5293d8e347dfe59e90efd55b2956a1343963d'
, 0x78adbe3bd3d0bff2fdb364ca6b225f3176feab8481036c3a9cbf78c2ed1cc303, 27, collected, 21405178, Deposits::Coin, 200, TID7F50E0AD26, ---
